,基金代码,基金名称,开始日期,类型
91,000167,广发聚优灵活配置混合,2013-09-11,混合式基金
92,000169,泰达宏利收益债券,2013-06-14,债券基金
93,000171,易方达裕丰,2013-08-23,债券基金
94,000172,华泰柏瑞量化增强混合A,2013-08-02,混合式基金
95,000173,汇添富美丽30混合,2013-06-25,混合式基金
96,000174,汇添富高息债债券A,2013-06-27,债券基金
97,000176,嘉实沪深300增强,2014-12-26,股票基金
98,000177,嘉实丰益信用定期债券,2013-08-21,债券基金
99,000178,博时混合,2013-11-08,混合式基金
100,000179,广发美国房地长指数（QDII）,2013-08-09,股票基金
101,000181,景顺长城四季金利纯债,2013-07-30,债券基金
102,000183,嘉实丰益策略,2013-07-30,债券基金
103,000184,工银添福债券,2013-10-31,债券基金
104,000186,华泰柏瑞季季红,2013-11-13,债券基金
105,000187,华泰柏瑞丰盛纯债债券,2013-09-02,债券基金
106,000189,易方达丰华债券,2016-01-13,债券基金
107,000190,中银新回报,2013-09-10,混合式基金
108,000191,富国信用债债券,2013-06-25,债券基金
109,000193,国泰美国房地产,2013-08-07,股票基金
110,000194,银华信用四季红债券,2013-08-07,债券基金
111,000195,工银保本3号混合,2013-06-26,混合式基金
112,000197,富国一年期,2013-06-27,债券基金
113,000198,天弘余额宝,2013-05-29,货币基金
114,000199,国泰量化策略收益,2013-08-12,混合式基金
115,000200,博时岁岁增利,2013-06-26,债券基金
116,000201,诺安泰鑫一年定期开放债券,2013-11-05,债券基金
117,000202,富国两年期,2013-09-13,债券基金
118,000203,国富日日收益货币,2013-07-24,货币基金
119,000205,易方达投资级信用债债券,2013-09-10,债券基金
120,000207,建信双债增强债券,2013-07-25,债券基金
121,000209,信诚新兴,2013-07-17,混合式基金
122,000210,光大保德信现金宝货币,2013-09-05,货币基金
123,000212,泰信鑫益定期开放,2013-07-17,债券基金
124,000214,广发成长优选,2013-12-11,混合式基金
125,000215,广发趋势,2013-09-11,混合式基金
126,000216,华安黄金易ETF联接,2013-08-22,联接基金
127,000218,国泰黄金ETF联接,2016-04-13,联接基金
128,000219,博时裕益,2013-07-29,混合式基金
129,000220,富国医保混合,2013-08-07,混合式基金
130,000221,汇添富年年利定期开放债券,2013-09-06,债券基金
131,000225,长盛年年收益定期债券,2013-08-09,债券基金
132,000227,华安年年红债券,2013-11-14,债券基金
133,000235,诺安稳固,2013-08-21,债券基金
134,000236,工银月月薪定期支付债券,2013-08-14,债券基金
135,000237,国投瑞银岁添利一年债券,2013-08-20,债券基金
136,000239,华安年年盈定期开放债,2015-02-03,债券基金
137,213006,宝盈核心优势混合,2009-03-17,混合式基金
138,000242,景顺精选,2013-08-07,混合式基金
139,000244,天弘稳利定期开放,2013-07-19,债券基金
140,000246,博时月月薪,2013-07-25,债券基金
141,000247,方正互利,2013-09-11,债券基金
142,000248,汇添富消费联接,2015-03-24,联接基金
143,000251,工银金融地产混合,2013-08-26,混合式基金
144,000252,景顺长城景兴信用纯债,2013-08-26,债券基金
145,000254,长城定期开放债券,2013-09-06,债券基金
146,000256,上投摩根红利回报混合,2013-09-17,混合式基金
147,000257,上投摩根岁岁盈定期开放债券,2013-08-28,债券基金
148,000259,农银区间收益,2013-08-21,混合式基金
149,000260,信诚季季定期,2013-09-12,债券基金
150,000263,工银信息产业混合,2013-11-11,混合式基金
151,000264,博时内需增长,2013-07-15,混合式基金
152,000265,易方达恒久1年定期债券,2014-09-10,债券基金
153,000267,广发集利一年定期开放债券,2013-08-21,债券基金
154,000269,嘉实合润双债两年期定期债券,2017-07-20,债券基金
155,000270,建信安心保本,2013-09-03,混合式基金
156,000271,中邮定期开放债券,2013-11-05,债券基金
157,000273,华润安鑫,2013-09-11,混合式基金
158,000274,广发亚太中高收益债券（QDII）,2013-11-28,债券基金
159,000277,博时双月薪,2013-10-22,债券基金
160,000278,融通通泽,2013-08-30,混合式基金
161,000279,华商红利,2013-09-17,混合式基金
162,000280,博时双债增强债券,2013-09-13,债券基金
163,000284,富安达信用纯债债券发起式,2013-10-25,债券基金
164,000286,银华信用季季红债券,2013-09-18,债券基金
165,000287,银华永利债券,2014-01-22,债券基金
166,000289,鹏华丰泰定期开放债券,2013-09-24,债券基金
167,000290,鹏华全球高收益债(QDII),2013-10-22,债券基金
168,000294,华安生态优先混合,2013-11-28,混合式基金
169,000295,鹏华丰实定期开放债券,2013-09-10,债券基金
170,000297,鹏华可转债,2015-02-03,债券基金
171,000298,中海纯债债券,2014-04-23,债券基金
172,000300,德邦德利货币,2013-09-16,货币基金
173,000302,国泰淘金互联网,2013-11-19,债券基金
174,000303,长盛双月红1年定期债券,2013-09-24,债券基金
175,000305,中银中高等级债券,2013-12-05,债券基金
176,000306,天弘弘利,2013-09-11,债券基金
177,000307,易方达黄金ETF联接,2016-05-26,联接基金
178,000308,建信创新中国,2013-09-24,混合式基金
179,000309,大摩品质生活,2013-10-29,股票基金
180,000310,安信永利信用,2013-11-07,债券基金
181,000311,景顺沪深300,2013-10-29,股票基金
182,000312,华安沪深300增强,2013-09-27,股票基金
183,000314,招商瑞丰混合发起式,2013-11-06,混合式基金
184,000315,融通通祥,2013-10-22,混合式基金
185,000319,泰达淘利债券,2014-08-06,债券基金
186,000322,农银14天理财债券A,2013-12-17,货币基金
187,000324,华润元大现金收益货币,2013-10-29,货币基金
188,000326,南方中小盘成长,2015-10-28,股票基金
189,000327,南方新蓝筹混合,2015-05-29,混合式基金
190,000328,上投转型动力,2013-11-25,混合式基金
191,000329,鹏华丰饶定期开放债券,2016-08-24,债券基金
192,000330,汇添富现金宝,2013-09-12,货币基金
193,000331,中加货币,2013-10-21,货币基金
194,000333,长城稳固收益债券型,2015-01-28,债券基金
195,000336,农银精选灵配,2013-11-05,混合式基金
196,000338,鹏华双债保利,2013-09-18,债券基金
197,000339,长城医疗保健,2014-02-28,混合式基金
198,000343,华夏财富宝货币,2013-10-25,货币基金
199,000345,鹏华丰融,2013-11-19,债券基金
200,000346,建信安心回报两年定期开放债券,2013-11-05,债券基金
201,000348,广发中债金融债指数,2013-11-07,债券基金
202,000351,国富恒丰定期债券,2013-11-20,债券基金
203,003003,华夏现金增利货币,2004-04-07,货币基金
204,000354,长盛城镇化主题混合,2013-11-12,混合式基金
205,000355,南方丰元信用增强债券,2013-11-12,债券基金
206,000359,易方达易理财,2013-10-24,货币基金
207,000360,信诚年年有余定期开放债券,2013-11-27,债券基金
208,000362,国泰聚信价值优势灵活配置,2013-12-17,混合式基金
209,000366,汇添富添富通货币,2013-12-10,货币基金
210,000367,国泰安康养老定期支付混合,2014-04-29,混合式基金
211,000368,汇添富沪深300,2013-11-06,股票基金
212,000369,广发全球医疗保健（QDII）,2013-12-10,股票基金
213,000371,民生加银现金宝货币,2013-10-18,货币基金
214,000372,中银惠利纯债,2013-11-07,债券基金
215,000373,华安中证细分医院ETF联接,2014-11-28,联接基金
216,000377,上投摩根双债增利债券,2013-12-11,债券基金
217,000379,平安日增利,2013-12-03,货币基金
218,000380,景顺长城景益货币,2013-11-26,货币基金
219,000385,景顺长城景颐双利债券,2013-11-13,债券基金
220,000387,泰达宏利瑞利分级债券,2013-11-14,债券基金
221,000389,广发天天红,2013-10-22,货币基金
222,000390,华商优势行业,2013-12-11,混合式基金
223,000391,招商标普高收益红利指数增强基金,2013-12-11,股票基金
224,000394,融通通源短融债券,2013-12-31,债券基金
225,000395,汇添富安心中国债券,2013-11-25,债券基金
226,000397,汇添富全额宝,2013-12-13,货币基金
227,000398,华富灵活配置混合,2014-08-07,混合式基金
228,000400,中融增鑫定期开放债券,2013-12-03,债券基金
229,000402,工银纯债债券,2014-05-16,债券基金
230,000404,易方达新兴成长,2013-11-28,混合式基金
231,000405,信诚月月定期,2013-12-30,债券基金
232,000406,汇添富双利增强债券,2013-12-03,债券基金
233,000408,民生城镇化,2013-12-12,混合式基金
234,000409,鹏华环保产业,2014-03-07,股票基金
235,000410,益民服务领先,2013-12-13,混合式基金
236,000411,景顺优质成长,2014-01-02,股票基金
237,000412,国开岁月鎏金定开信用债,2013-12-23,债券基金
238,000414,嘉实绝对收益,2013-12-06,混合式基金
239,000415,大摩添利18个月开放债券,2014-09-02,债券基金
240,000417,国联安新精选,2014-03-04,混合式基金
241,000418,景顺成长之星,2013-12-13,股票基金
242,000419,大摩华鑫优质信价纯债基金,2014-11-25,债券基金
243,000421,华泰柏瑞丰汇债券,2014-12-10,债券基金
244,000423,前海开源事件驱动混合,2013-12-19,混合式基金
245,000424,长盛添利宝货币,2013-12-09,货币基金
246,000426,大成信用增利一年债券,2014-01-28,债券基金
247,000431,鹏华品牌,2014-01-28,混合式基金
248,000432,中银优秀企业,2014-01-28,混合式基金
249,000433,安信鑫发优选,2013-12-31,混合式基金
250,000434,新华壹诺宝货币,2013-12-03,货币基金
251,000435,建信稳定添利债券,2013-12-10,债券基金
252,000436,易方达裕惠,2013-12-17,混合式基金
253,000437,融通月月添利定期开放债券,2014-08-29,债券基金
254,000439,国金鑫盈货币,2013-12-16,货币基金
255,000452,南方医保,2014-01-23,混合式基金
256,000457,上投摩根核心,2014-02-10,股票基金
257,000458,英大领先回报,2014-03-05,混合式基金
258,000462,农银主题,2015-04-10,混合式基金
259,000463,华商双债丰利债券,2014-01-28,债券基金
260,000464,嘉实活期宝,2013-12-18,货币基金
261,000465,景顺鑫月薪,2014-03-20,债券基金
262,000466,融通通瑞债券,2014-03-21,债券基金
263,000467,信诚惠报,2016-04-08,债券基金
264,000469,富国目标齐利,2014-07-25,债券基金
265,000471,富国城镇发展,2014-01-28,股票基金
266,000473,广发集鑫债券,2014-01-27,债券基金
267,000475,广发天天利货币,2014-01-27,货币基金
268,000477,广发主题领先,2014-07-31,混合式基金
269,000478,建信中证500指数增强,2014-01-27,股票基金
270,000480,东方红新动力,2014-01-28,混合式基金
271,000483,鑫元货币,2013-12-30,货币基金
272,000485,嘉实一个月理财债券,2013-12-24,货币基金
273,000487,嘉实3个月理财债券,2014-06-26,货币基金
274,000489,光大保德信岁末红利债券,2014-08-12,债券基金
275,000493,南方现金通货币,2014-01-21,货币基金
276,000496,长安产业精选混合,2014-05-06,混合式基金
277,000497,财通纯债债券,2014-01-17,债券基金
278,000503,中信建投稳信一年,2014-01-27,债券基金
279,000505,国寿安保货币市场,2014-01-20,货币基金
280,000507,泰达宏利宏达混合,2014-03-05,混合式基金
281,000509,广发钱袋子,2014-01-10,货币基金
282,000510,诺安永鑫收益,2014-06-24,债券基金
283,000511,国泰国策驱动灵活配置混合,2014-02-17,混合式基金
284,000512,国泰结构转型灵活配置混合,2014-05-19,股票基金
285,000513,富国高端制造,2014-06-20,股票基金
286,000516,富国祥利一年期定期开放债券,2017-08-30,债券基金
287,000520,上银新兴价值,2014-05-06,混合式基金
288,000521,诺安瑞鑫定开债,2017-12-28,债券基金
289,000522,华润元大信息,2014-03-31,混合式基金
290,000523,国投医疗保健,2014-02-25,混合式基金
291,000524,上投摩根民生,2014-03-14,股票基金
292,000526,国泰浓益灵活配置混合,2014-03-05,混合式基金
293,000527,南方新优享灵活配置混合,2014-02-25,混合式基金
294,000528,工银薪金宝货币,2014-01-27,货币基金
295,000529,广发竞争优势,2014-03-12,混合式基金
296,000530,招商丰盛稳定增长混合,2014-03-20,混合式基金
297,000531,东吴阿尔法灵活,2014-03-19,混合式基金
298,000532,景顺优势企业,2014-03-19,混合式基金
299,000533,永赢货币,2014-02-27,货币基金
300,000534,长盛高端装备,2014-03-25,混合式基金
301,000535,长盛航天海工,2014-03-11,混合式基金
302,000536,前海开源可转债,2014-03-25,债券基金
303,000538,诺安优势行业混合,2014-03-14,混合式基金
304,000539,中银活期宝,2014-02-14,货币基金
305,000540,国金金腾通货币,2014-02-17,货币基金
306,000541,华商创新成长,2014-03-18,混合式基金
307,000542,上银慧财宝货币,2014-02-27,货币基金
308,000545,中邮核心竞争,2014-04-23,混合式基金
309,000546,兴业定期开放债券,2014-03-13,债券基金
310,000547,建信健康民生,2014-03-21,混合式基金
311,000548,鹏华聚财通货币,2017-05-18,货币基金
312,000549,华安大国新经济,2014-04-14,股票基金
313,000550,广发新动力混合,2014-03-19,混合式基金
314,000551,信诚幸福消费,2014-04-29,混合式基金
315,000552,中加纯债一年,2014-03-24,债券基金
316,000554,中国梦灵活配置,2014-06-09,混合式基金
317,000556,国投瑞银新机遇混合,2014-03-11,混合式基金
318,000558,国投瑞易,2014-03-20,货币基金
319,000559,诺安天天宝货币,2014-03-25,货币基金
320,000561,南方启元债券,2014-07-25,债券基金
321,000563,南方通力债券,2014-04-25,债券基金
322,000566,华泰创新升级,2014-05-06,混合式基金
323,000567,广发聚祥灵活,2014-03-21,混合式基金
324,000569,鹏华增值宝货币,2014-02-26,货币基金
325,000571,中邮双动力,2014-05-04,混合式基金
326,000572,中银多策略,2014-03-31,混合式基金
327,000573,天弘通利混合,2014-03-14,混合式基金
328,000574,宝盈新价值,2014-04-10,混合式基金
329,000575,兴全添利宝,2014-02-27,货币基金
330,000576,中邮货币,2014-05-28,货币基金
331,000577,安信价值精选,2014-04-21,股票基金
332,000578,鑫元恒鑫收益增强,2014-04-17,债券基金
333,000581,嘉实活钱包货币,2014-03-17,货币基金
334,000583,江信聚福,2014-05-29,债券基金
335,000584,新华鑫益,2014-04-16,混合式基金
336,000585,嘉实对冲套利,2014-05-16,混合式基金
337,000586,景顺中小创业板,2014-04-30,股票基金
338,000587,大成灵活配置,2014-05-14,混合式基金
339,000588,招商招财宝货币,2014-03-25,货币基金
340,000589,光大商机,2014-04-29,混合式基金
341,000590,华安新活力,2014-04-01,混合式基金
342,000591,中银健康生活,2014-05-20,混合式基金
343,000592,建信改革红利,2014-05-14,股票基金
344,118002,易方达标普消费品指数增强（QDII）,2012-06-04,股票基金
345,000594,大摩进取优选,2014-05-29,股票基金
346,000595,嘉实泰和,2014-04-04,混合式基金
347,000596,前海开源中证军工指数,2014-05-27,股票基金
348,000597,中海积极收益,2014-05-26,混合式基金
349,000598,长盛生态,2014-09-10,混合式基金
350,000599,信诚薪金宝,2014-05-14,货币基金
351,000600,汇添富和聚宝,2014-05-28,货币基金
352,000601,华宝创新优选混合,2014-05-14,混合式基金
353,000602,富国安益,2014-05-26,货币基金
354,000603,易方达创新驱动,2015-02-13,混合式基金
355,000604,银华多利宝货币,2014-04-25,货币基金
356,000606,天弘优选债券,2017-09-26,债券基金
357,000609,华商新量化,2014-06-05,混合式基金
358,000610,新华阿里一号,2014-04-25,混合式基金
359,000611,长城淘金一年期,2014-05-07,债券基金
360,000612,华宝生态中国混合,2014-06-13,混合式基金
361,000613,国寿安保沪深300ETF联接,2014-06-05,联接基金
362,000614,华安德国30,2014-08-12,联接基金
363,000615,长城工资宝货币,2014-06-25,货币基金
364,000616,上投摩根优信增利,2014-06-11,债券基金
365,000618,嘉实薪金宝,2014-04-29,货币基金
366,000619,东方红产业,2014-06-06,混合式基金
367,000620,易方达现金增利货币,2015-02-05,货币基金
368,000626,大成招财宝货币,2014-06-17,货币基金
369,000628,大成高新技术,2015-02-03,股票基金
370,000629,圆信永丰纯债,2014-05-30,债券基金
371,000632,中银聚利半年期定期开放债券,2014-06-05,债券基金
372,000634,富国天盛,2014-04-30,混合式基金
373,000638,富国富钱包,2014-05-07,货币基金
374,000639,宝盈祥瑞混合,2014-05-21,混合式基金
375,000640,诺安理财宝货币,2014-05-12,货币基金
376,519518,汇添富货币,2006-03-23,货币基金
377,000643,华宝活期通货币,2014-05-21,货币基金
378,000644,招商招金宝货币,2014-06-19,货币基金
379,000645,华夏薪金宝,2014-05-26,货币基金
380,000646,华润元大医疗,2014-08-18,混合式基金
381,000647,易方达财富快线货币,2014-06-17,货币基金
382,000649,长城久鑫,2014-07-30,混合式基金
383,000652,博时裕隆,2014-06-03,混合式基金
384,000654,华商新锐,2014-07-24,混合式基金
385,000655,鑫元稳利,2014-06-12,债券基金
386,000656,前海沪深300,2014-06-17,股票基金
387,000657,银华活钱宝货币,2014-06-23,货币基金
388,000663,国投美丽中国,2014-06-24,混合式基金
389,000664,国联安通盈混合,2014-06-13,混合式基金
390,050003,博时现金收益货币,2004-01-16,货币基金
391,000667,工银瑞信绝对收益混合发起,2014-06-26,混合式基金
392,000668,国寿安保尊享债券,2014-07-24,债券基金
393,000670,天弘季加利理财,2014-06-17,货币基金
394,000677,工银现金货币,2014-09-23,货币基金
395,240006,华宝现金宝货币,2005-03-31,货币基金
396,000679,招商丰利混合,2014-08-12,混合式基金
397,000681,信达澳银慧管家货币,2014-06-26,货币基金
398,000684,长盛养老健康,2014-11-25,混合式基金
399,000685,上投现金管理,2014-08-19,货币基金
400,000686,建信嘉薪宝货币,2014-06-17,货币基金
401,000687,南方薪金宝,2014-06-23,货币基金
402,000688,景顺研究精选,2014-08-12,股票基金
403,000689,前海新经济,2014-08-20,混合式基金
404,000690,前海大海洋,2014-07-31,混合式基金
405,470018,汇添富双利债券,2011-01-26,债券基金
406,000693,建信现金添利货币,2014-09-17,货币基金
407,000694,鑫元鸿利,2014-06-26,债券基金
408,000695,大成景益平稳,2014-06-26,混合式基金
409,000696,汇添富环保,2014-09-16,股票基金
410,000697,汇添富移动互联,2014-08-26,股票基金
411,000698,宝盈科技30,2014-08-13,混合式基金
412,000699,中银薪钱包,2014-06-26,货币基金
413,162206,泰达宏利货币,2005-11-10,货币基金
414,000701,景顺长城景丰货币,2014-09-16,货币基金
415,000702,广发季季利债券,2014-09-29,货币基金
416,000704,易方达天天增利货币,2014-06-25,货币基金
417,000706,中邮多策略,2014-07-24,混合式基金
418,000708,华安安享混合,2015-01-23,混合式基金
419,000709,华安汇财通,2014-07-17,货币基金
420,000710,交银现金宝货币,2014-09-11,货币基金
421,000711,嘉实医疗保健,2014-08-13,股票基金
422,000712,上投摩根天添宝货币,2014-11-25,货币基金
423,000714,诺安稳健回报混合,2014-09-15,混合式基金
424,000717,融通转型,2015-01-16,混合式基金
425,000721,兴业货币,2014-08-06,货币基金
426,000724,大成添利宝货币,2014-07-28,货币基金
427,000727,融通健康产业,2014-12-25,混合式基金
428,000728,工银目标收益一年定开债券,2014-08-12,债券基金
429,000729,建信中小盘,2014-08-20,股票基金
430,000730,博时现金宝货币,2014-09-18,货币基金
431,000732,中原英石货币,2014-09-11,货币基金
432,000734,博时天天增利货币,2014-08-25,货币基金
433,000736,诺安聚利债券,2014-11-13,债券基金
434,000738,中信建投货币,2014-08-05,货币基金
435,000739,平安新鑫先锋,2015-01-29,混合式基金
436,000741,兴银货币,2014-08-27,货币基金
437,000742,国泰新经济,2014-09-16,混合式基金
438,000743,红塔盛世,2014-09-18,混合式基金
439,000744,北信瑞丰稳定收益,2014-08-27,债券基金
440,000746,招商行业,2014-09-03,股票基金
441,000747,广发逆向,2014-09-04,混合式基金
442,000748,广发活期宝货币,2014-08-28,货币基金
443,000749,国金鑫安保本,2014-08-27,混合式基金
444,000750,安信现金增利货币,2014-11-24,货币基金
445,000751,嘉实新兴,2014-09-17,股票基金
446,000752,博时优势,2014-09-15,债券基金
447,000753,华宝量化对冲混合,2014-09-17,混合式基金
448,000755,富安达新兴,2014-09-11,混合式基金
449,000756,建信潜力,2014-09-10,股票基金
450,000757,华富智慧,2014-10-31,混合式基金
451,000759,平安财富宝,2014-08-21,货币基金
452,000760,工银财富货币,2015-06-19,货币基金
453,000761,国富健康,2014-09-23,股票基金
454,000762,汇添富绝对收益定开混合,2017-03-15,混合式基金
455,000763,工银新财富,2014-09-19,混合式基金
456,519508,万家货币,2006-05-24,货币基金
457,000767,华富国泰民安,2015-02-04,混合式基金
458,000771,诺安聚鑫宝货币,2014-09-01,货币基金
459,000772,景顺中国回报,2014-11-06,混合式基金
460,000773,万家现金宝,2014-09-23,货币基金
461,000778,鹏华先进制造,2014-11-04,股票基金
462,000780,鹏华医疗,2014-09-23,股票基金
463,000781,国投瑞银岁增利一年债券,2014-09-26,债券基金
464,000783,博时月月盈短期理财债券,2014-09-22,货币基金
465,000785,华融现金增利,2014-09-16,货币基金
466,000788,前海中国成长,2014-09-29,混合式基金
467,000789,易方达龙宝货币,2014-09-12,货币基金
468,000791,银华双月定期理财债券,2014-09-05,货币基金
469,000792,招商定期宝六个月,2017-06-16,债券基金
470,000793,工银高端制造,2014-10-22,股票基金
471,000794,宝盈睿丰创新混合,2014-09-26,混合式基金
472,000797,方正金小宝,2014-09-24,货币基金
473,000798,民生加银家盈季度定期宝理财债,2017-09-13,货币基金
474,000799,民生家盈半年定期宝理财债,2018-02-11,货币基金
475,000800,华商未来,2014-10-14,混合式基金
476,000801,中金纯债,2014-11-03,债券基金
477,000803,工银研究精选,2014-10-23,股票基金
478,000804,中信建投稳利,2014-09-26,混合式基金
479,000805,中银新经济,2014-09-30,混合式基金
480,000806,信诚3个月理财债券,2014-10-21,货币基金
481,000808,招商招利1个月期理财债券,2014-09-25,货币基金
482,000810,富国收益增强债券,2014-10-28,债券基金
483,000816,南方理财金货币ETF,2014-12-04,货币基金
484,000817,中银安心回报,2014-10-24,债券基金
485,000819,新华财富金,2014-09-26,货币基金
486,000820,华安中证高分红指数增强,2014-11-14,股票基金
487,000822,东海美丽中国,2014-11-14,混合式基金
488,000823,银华高端制造,2014-11-13,混合式基金
489,000824,圆信永丰双利,2014-11-19,混合式基金
490,000826,广发百发100指数,2014-10-30,股票基金
491,000828,泰达转型,2014-11-18,股票基金
492,000829,易方达天天发货币,2017-02-16,货币基金
493,000831,工银医疗保健,2014-11-18,股票基金
494,420006,天弘现金管家货币,2012-06-20,货币基金
495,000833,易方达掌柜季季盈理财债券,2017-06-15,货币基金
496,000834,大成纳指100,2014-11-13,股票基金
497,000835,华润富时中国A50,2014-11-20,股票基金
498,000836,国投瑞银钱多宝货币,2014-10-17,货币基金
499,000839,上投摩根纯债丰利债券,2014-11-18,债券基金
500,000841,富国新回报灵活配置混合,2014-11-25,混合式基金
501,000844,南方绝对收益,2014-12-01,混合式基金
502,000845,国投信息消费,2014-12-03,混合式基金
503,000847,中融货币,2014-10-21,货币基金
504,000848,工银添益快线,2014-10-22,货币基金
505,000849,汇丰晋信双核策略混合,2014-11-26,混合式基金
506,000854,鹏华养老产业,2014-12-02,股票基金
507,000855,上投摩根天添盈货币,2014-11-25,货币基金
508,000860,银华惠增利,2014-11-14,货币基金
509,200003,长城货币,2005-05-30,货币基金
510,100025,富国天时货币,2006-06-05,货币基金
511,000865,大成景利混合,2014-12-09,混合式基金
512,000866,华宝制造股票,2014-12-10,股票基金
513,000867,华宝品质生活,2015-01-21,股票基金
514,000868,国投瑞银增利宝货币,2014-11-13,货币基金
515,000870,嘉实新收益,2014-12-10,混合式基金
516,000871,北信瑞丰宜投宝,2014-11-20,货币基金
517,000873,华安现金宝,2017-03-10,货币基金
518,000875,建信稳定得利债券,2014-12-02,债券基金
519,000877,华泰量化优选,2014-12-17,混合式基金
520,000878,中海医药混合,2014-12-17,混合式基金
521,000880,富国研究精选,2014-12-12,混合式基金
522,000882,中金现金管家,2014-11-28,货币基金
